username,screen_name,created_at,retweets,likes,cleaned_text,sentiment
RayBorn,born77874,Thu Jan 30 23:27:35 +0000 2025,0,0,makannya banyak orang profesional kaburajadulu ke luar negeri yang masih pada waras,positive
Dadang S.,dsobali,Thu Jan 30 22:56:07 +0000 2025,0,0,yang udh berkeluarga dan mau kaburajadulu gimana persiapannya,positive
Niar Ibrahim Rose,ImRoseWhoRU,Thu Jan 30 22:45:19 +0000 2025,0,1,kaburajadulu selama kelen belom terikat indon kejar mimpi mu ges lets brain drain for them,positive
Cregiel,Cregiel1,Thu Jan 30 18:32:52 +0000 2025,0,0,untuk fresh graduate opportunities nya banyak kah mas untuk kaburajadulu apalagi di bidang project managementmarketing,neutral
Robinson Understand of America,pweehookiong,Thu Jan 30 18:02:23 +0000 2025,0,0,cara ini paling gampang untuk hong kong terutama visa ttp karena warlok dimarih juga banyak yang kaburajadulu ke inggris,positive
Hai Xal,Hexallo,Thu Jan 30 17:39:14 +0000 2025,0,2,bukan rakyat ko ramai duk kaburajadulu pindah malaysia ke hahahaha,positive
Rand Saptr 🦉🐧🍉🇵🇸🏳️‍🌈🏴‍☠️,mrndsptr,Thu Jan 30 17:31:47 +0000 2025,0,0,fyi rohingya bisa kabur cuma modal perahu ayo anak abah kamu bisa tiru kaburajadulu,negative
💥,proteomika,Thu Jan 30 16:59:53 +0000 2025,0,0,kaburajadulu tapi ke mana jir,positive
dt pd | I Stand With Humanity,dtxczjb,Thu Jan 30 16:13:22 +0000 2025,0,1,punya misi kabur dari negara ini boleh banget belajar bareng untuk cari cara bisa kaburajadulu dashing away dashing away dashing away,positive
Arief Ibrahim,AI_AriefIbrahim,Thu Jan 30 15:50:11 +0000 2025,0,7,belanda udah paling bener kalo mau kaburajadulu ke eropa ikatan sejarah menyatukan kita,positive
Lemak 0.009 %,atlksn,Thu Jan 30 15:44:27 +0000 2025,0,2,ada nakes yg kaburajadulu ga ya terutama apoteker wkwk,positive
Lemak 0.009 %,atlksn,Thu Jan 30 15:43:57 +0000 2025,0,1,ngeliat orang2 yg kaburajadulu bisa ga ya buat nakeswkwk,positive
Jordi,JordiaHimself,Thu Jan 30 15:28:29 +0000 2025,0,2,social life opportunities jg bang ga cuma introverts yg mau kaburajadulu,negative
Rand Saptr 🦉🐧🍉🇵🇸🏳️‍🌈🏴‍☠️,mrndsptr,Thu Jan 30 15:24:51 +0000 2025,0,0,yg mau pindah ke luar negeri harus tiru rohingya modal perahu doang bisa kabur dr negaranya lu pada udah mau 1 tahun pemilu masih gk pergipergi gblokkkkk kaburajadulu,positive
sunshine,simppover,Thu Jan 30 14:49:23 +0000 2025,0,0,topik obrolan malem ini adalah kaburajadulu,positive
Galileo,glrhn,Thu Jan 30 14:22:23 +0000 2025,28,219,untuk yang field of worknya tax kayak gw kaburajadulu ini jadi ada challenge tersendiri karena aturan perpajakan tiap negara beda lalu kemudian gw sadar bahwa pajak indonesia itu paling njlimet di negara asean jadi gw banyak apply di negara asean sekarang thumbs up,negative
RJ,cybersexcurity,Thu Jan 30 14:09:20 +0000 2025,0,0,aku mau kaburajadulu smiling face,positive
